citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
294,217,Verified email at eng.ui.ac.ir,6,6,5,3,2020,2008,Hossein Karshenas,"Assistant Professor, Artificial Intelligence Department  University of Isfahan None","Estimation of Distribution Algorithms,Multi-Objective Optimization,Probabilistic Graphical Models,Computational Intelligence",22
297,296,Verified email at cuhk.edu.cn,8,8,8,8,2020,2014,Ziya Wang,Shenzhen Institute of Artificial Intelligence and Robotics for Society (AIRS) None None,,21
298,298,Verified email at manchester.ac.uk - ,7,7,7,7,2020,2015,Sunil Kumar Sahu,Inception Institute of Artificial Intelligence (IIAI) Abu Dhabi Homepage None,Natural Language Processing,14
301,51,Verified email at de.bosch.com,6,5,5,2,2019,1998,Ernst Kloppenburg,Bosch Center for Artificial Intelligence Machine Learning None,"Machine Learning,Automatic Control,Probabilistic Reasoning",28
301,299,Verified email at disi.unitn.it - ,8,8,7,7,2020,2014,Ionut Cosmin Duta,"Inception Institute of Artificial Intelligence (IIAI), Abu Dhabi, UAE Homepage None","Computer Vision,Deep Learning,Machine Learning,Multimedia",13
301,284,Verified email at idsia.ch - ,6,6,5,5,2020,2002,Ricardo Omar Chavez-Garcia,"Researcher, IDSIA Istituto Dalle Molle for Artificial Intelligence - USI-SUPSI - Lugano, Switzerland Homepage None","perception,robotics,machine learning",27
302,114,Verified email at dfki.de,8,5,7,2,2019,1998,Christoph Igel,Verified email at dfki.de German Research Center for Artificial Intelligence DFKI None,"Educational Technology,Future Work,Emerging Technologies",75
302,279,Verified email at dfki.de,9,9,9,9,2020,2011,Nijat Mehdiyev,Verified email at dfki.de German Research Center for Artificial Intelligence None,,21
307,242,Verified email at racai.ro,10,8,10,6,2019,1994,irimia elena,"Scientific Researcher, Research Institute for Artificial Intelligence, Romanian Academy Artificial Intelligence None",Artificial Intelligence,52
308,151,Verified email at pucit.edu.pk - ,10,7,10,3,2020,2005,Dr. Syed Waqar Jaffry,"Assistant Professor of Artificial Intelligence, University of The Punjab Homepage None","Artificial Intelligence,Multi-Agent System,Trust and Reputation Management,Modeling and Simulation",84
309,124,Verified email at sidar.org - ,10,6,11,3,2020,1983,Emmanuelle Gutiérrez y Restrepo,Artificial Intelligence Department of Distance Learning University of Spain (UNED Homepage None,"Accessibility,usability,e-learning standards,Artificial Intelligence",65
310,310,Verified email at dfki.de,3,3,2,2,2020,2007,Federico Raue,"Research,  German Research Centre for Artificial Intelligence None","LSTM networks,Sequence Classification",17
citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
31880,31667,Verified email at ml.jku.at,98,98,390,389,2020,1994,Johannes Brandstetter,"Institute for Machine Learning,  Johannes Kepler University Linz , Austria","Machine Learning,High Energy Physics",1794
1430,1415,Verified email at informatik.uni-freiburg.de - ,10,10,11,11,2019,2013,Matthias Feurer,"Machine Learning group,  University of Freiburg None","Hyperparameter optimization,Meta-learning,Bayesian optimization,OpenML,AutoML",17
1128,1126,Verified email at dfci.harvard.edu - ,10,10,10,10,2020,2014,Ahmed Hosny,Machine Learning @ Dana Farber Cancer Institute Homepage None,"Machine Learning,Deep Learning,Data Visualization,Data Science",38
866,850,Verified email at bose.com,11,11,12,11,2018,2012,Survi Kyal,Machine Learning Scientist at Affectiva Signal processing/Machine Learning/Computer Vision/Remote health care monitoring None,Signal processing/Machine Learning/Computer Vision/Remote health care monitoring,41
700,288,No verified email,10,9,11,8,2017,2004,Sven Van Segbroeck,"Machine Learning Group, Université Libre de Bruxelles None None",,30
